Name,Address,Location,Country,Price,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,FacilitiesAndServices
Memories,"Bernhard-Simon-Strasse 2, Bad Ragaz, 7310, Switzerland",Bad Ragaz,Switzerland,€€€€,"Creative, Market Cuisine",9.5037741,47.0002941,+41813033036,https://guide.michelin.com/en/sankt-gallen-region/bad-ragaz/restaurant/memories,https://memories.ch/,3 MICHELIN Stars,"Air conditioning,American Express credit card,Car park,Counter dining,Credit card / Debit card accepted,Diners Club credit card,Garden or park,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access"
Restaurant de l'Hôtel de Ville,"Rue d'Yverdon 1, Crissier, 1023, Switzerland",Crissier,Switzerland,€€€€,Classic French,6.5766897,46.553994,+41216340505,https://guide.michelin.com/en/vaud/crissier/restaurant/restaurant-de-l-hotel-de-ville,https://www.restaurantcrissier.com/,3 MICHELIN Stars,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access"
Schloss Schauenstein,"Schlossgass 77, Fürstenau, 7414, Switzerland",Fürstenau,Switzerland,€€€€,"Creative, Country cooking",9.4462648,46.7211969,+41816321080,https://guide.michelin.com/en/graubunden/frstenau/restaurant/schloss-schauenstein,https://schauenstein.ch/,3 MICHELIN Stars,"American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,Garden or park,Mastercard credit card,Particularly interesting wine list,Visa credit card"
Cheval Blanc by Peter Knogl,"Blumenrain 8, Basel, 4001, Switzerland",Basel,Switzerland,€€€€,Classic French,7.5875706,47.5604261,+41612605007,https://guide.michelin.com/en/basel-stadt/basel/restaurant/cheval-blanc-by-peter-knogl,https://www.chevalblancbasel.com/en,3 MICHELIN Stars,"American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Great view,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card,Wheelchair access"
Mosu,"45 Itaewon-ro 55ga-gil, Yongsan-gu, Seoul, South Korea",Seoul,South Korea,₩₩₩₩,Innovative,126.99935,37.53644,+8227935995,https://guide.michelin.com/en/seoul-capital-area/kr-seoul/restaurant/mosu,http://mosuseoul.com,3 MICHELIN Stars,"Particularly interesting wine list,Valet parking"
Gaon,"M Floor Horim Art Center, 317 Dosan-daero, Gangnam-gu, Seoul, South Korea",Seoul,South Korea,₩₩₩₩,Korean,127.03595,37.52265,+8225459845,https://guide.michelin.com/en/seoul-capital-area/kr-seoul/restaurant/gaon,http://gaonkr.com,3 MICHELIN Stars,"Car park,Valet parking,Wheelchair access"
Chef's Table at Brooklyn Fare,"431 W. 37th St., New York, 10018, USA",New York,USA,$$$$,Contemporary,-73.9964997,40.7560823,+17182430050,https://guide.michelin.com/en/new-york-state/new-york/restaurant/chef-s-table-at-brooklyn-fare,https://www.brooklynfare.com/,3 MICHELIN Stars,"Air conditioning,Counter dining,Credit card / Debit card accepted,Particularly interesting wine list,Wheelchair access"
Per Se,"10 Columbus Circle, New York, 10019, USA",New York,USA,$$$$,"Contemporary, French",-73.9825882,40.7680545,+12128239335,https://guide.michelin.com/en/new-york-state/new-york/restaurant/per-se,https://www.thomaskeller.com/perseny,3 MICHELIN Stars,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access"
Le Bernardin,"155 W. 51st St., New York, 10019, USA",New York,USA,$$$$,Seafood,-73.98223,40.76177,+12125541515,https://guide.michelin.com/en/new-york-state/new-york/restaurant/le-bernardin,https://www.le-bernardin.com/,3 MICHELIN Stars,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access"
Masa,"10 Columbus Circle, New York, 10019, USA",New York,USA,$$$$,"Japanese, Sushi",-73.98234,40.76819,+12128239800,https://guide.michelin.com/en/new-york-state/new-york/restaurant/masa,https://www.masanyc.com/,3 MICHELIN Stars,"Air conditioning,Counter dining,Credit card / Debit card accepted,Notable sake list,Wheelchair access"
